"ANNEE","SEXE","NB_NAISSANCES"
"2013","GARCON","4448"
"2014","GARCON","4404"
"1983","FILLE","4879"
"1984","FILLE","5059"
"1985","FILLE","5057"
"1986","FILLE","4999"
"1987","FILLE","4770"
"1988","FILLE","4448"
"1989","FILLE","4267"
"1990","FILLE","4262"
"1991","FILLE","4356"
"1992","FILLE","4308"
"1993","FILLE","4000"
"1994","FILLE","3250"
"1995","FILLE","3258"
"1996","FILLE","3160"
"1997","FILLE","3283"
"1998","FILLE","3237"
"1999","FILLE","3387"
"2000","FILLE","3757"
"2001","FILLE","3535"
"2002","FILLE","2926"
"2003","FILLE","2443"
"2004","FILLE","2844"
"2005","FILLE","3585"
"2006","FILLE","3762"
"2007","FILLE","3818"
"2008","FILLE","3947"
"2009","FILLE","4003"
"2010","FILLE","4080"
"2011","FILLE","4067"
"2012","FILLE","4210"
"2013","FILLE","4170"
"2014","FILLE","4247"
"1983","GARCON","5134"
"1984","GARCON","5237"
"1985","GARCON","5290"
"1986","GARCON","5192"
"1987","GARCON","5014"
"1988","GARCON","4573"
"1989","GARCON","4412"
"1990","GARCON","4444"
"1991","GARCON","4518"
"1992","GARCON","4495"
"1993","GARCON","4341"
"1994","GARCON","3548"
"1995","GARCON","3367"
"1996","GARCON","3444"
"1997","GARCON","3357"
"1998","GARCON","3538"
"1999","GARCON","3686"
"2000","GARCON","3861"
"2001","GARCON","3809"
"2002","GARCON","3011"
"2003","GARCON","2582"
"2004","GARCON","3034"
"2005","GARCON","3797"
"2006","GARCON","3957"
"2007","GARCON","4126"
"2008","GARCON","4155"
"2009","GARCON","4233"
"2010","GARCON","4347"
"2011","GARCON","4289"
"2012","GARCON","4455"
