"Année","Mois de la collecte","Montant TVA collecté (hors douanes) en €"
"2009","02février","3.5472350505E8"
"2009","03mars","3.3827556522E8"
"2009","04avril","4.6147315264E8"
"2009","05mai","4.1329995844E8"
"2009","06juin","3.5583749746E8"
"2009","07juillet","4.853070456000001E8"
"2009","08août","3.8270022518999994E8"
"2009","09septembre","3.7450345153E8"
"2009","10octobre","4.3464076868000007E8"
"2009","11novembre","3.8549583852E8"
"2009","12décembre","3.9140150996E8"
"2010","01janvier","4.8691253778E8"
"2010","02février","3.1687759348E8"
"2010","03mars","3.2739714305E8"
"2010","04avril","4.4452894638E8"
"2010","05mai","3.8965188776E8"
"2010","06juin","3.4031570327E8"
"2010","07juillet","4.6534125289E8"
"2010","08août","3.8690147192E8"
"2010","09septembre","3.8000184241E8"
"2010","10octobre","4.4212209374E8"
"2010","11novembre","3.846875078E8"
"2010","12décembre","4.0447705062E8"
"2011","01janvier","4.9633981854E8"
"2011","02février","3.1951665065E8"
"2011","03mars","3.6791910459E8"
"2011","04avril","4.4675145785E8"
"2011","05mai","3.95898439E8"
"2011","06juin","3.9656976956E8"
"2011","07juillet","4.5374476583E8"
"2011","08août","3.8750389529E8"
"2011","09septembre","3.9237918809E8"
"2011","10octobre","4.519270652E8"
"2011","11novembre","3.8646727493E8"
"2011","12décembre","4.1474014351E8"
"2012","01janvier","5.02792171E8"
"2012","02février","3.98392433E8"
"2012","03mars","3.51478803E8"
"2012","04avril","4.61786671E8"
"2012","05mai","4.18564728E8"
"2012","06juin","3.84021628E8"
"2012","07juillet","4.81201183E8"
"2012","08août","4.12984986E8"
"2012","09septembre","4.17523172E8"
"2012","10octobre","4.48538265E8"
"2012","11novembre","4.22464038E8"
"2012","12décembre","4.28927764E8"
"2013","01janvier","4.88825077E8"
"2013","02février","3.93625697E8"
"2013","03mars","3.44290932E8"
"2013","04avril","4.43064293E8"
"2013","05mai","4.53749951E8"
"2013","06juin","3.8673822E8"
"2013","07juillet","4.74251226E8"
"2013","08août","4.28024331E8"
"2013","09septembre","4.22780482E8"
"2013","10octobre","4.6847486E8"
"2013","11novembre","4.39502474E8"
"2013","12décembre","4.20972008E8"
"2014","01janvier","5.34840294E8"
"2014","02février","4.15641357E8"
"2014","03mars","3.76244582E8"
"2014","04avril","4.75825267E8"
"2014","05mai","4.63203188E8"
"2014","06juin","4.19760665E8"
"2014","07juillet","5.08721334E8"
"2014","08août","4.47867987E8"
"2014","09septembre","4.28707862E8"
"2014","10octobre","5.03378871E8"
"2014","11novembre","4.61178158E8"
"2014","12décembre","4.42481751E8"
"2015","01janvier","5.45012609E8"
"2007","01janvier","4.4711094107000005E8"
"2007","02février","3.631418576699999E8"
"2007","03mars","3.3708878484000003E8"
"2007","04avril","4.4968413728999996E8"
"2007","05mai","3.9290414593E8"
"2007","06juin","3.564647292E8"
"2007","07juillet","4.7282285972E8"
"2007","08août","3.8718330268999994E8"
"2007","09septembre","3.9087481306000006E8"
"2007","10octobre","4.4346540048E8"
"2007","11novembre","4.0489727082E8"
"2007","12décembre","4.0777059438E8"
"2008","01janvier","4.6600270957000005E8"
"2008","02février","3.8181238841E8"
"2008","03mars","3.5074930074999994E8"
"2008","04avril","4.4506951016E8"
"2008","05mai","4.2907605126000005E8"
"2008","06juin","3.5223877119000006E8"
"2008","07juillet","4.7644740078E8"
"2008","08août","3.9785974639000005E8"
"2008","09septembre","3.9093288986999995E8"
"2008","10octobre","4.6704304640999997E8"
"2008","11novembre","4.0471631486E8"
"2008","12décembre","3.7988963948E8"
"2009","01janvier","4.785392601E8"
